town,jan22,feb22,mar22,apr22,may22,jun22,jul22,aug22,sep22,oct22,nov22,dec22,jan23,feb23,mar23,apr23,may23,jun23,jul23
Dadaab,101.29,101.29,101.29,111.19,116.69,125.69,125.69,125.69,145.69,144.69,143.69,143.69,143.69,143.69,166.63,143.69,149.03,158.65,166.43
Likoni Mainland,102.01,102.01,102.01,111.91,117.41,126.41,126.41,126.41,146.41,145.41,144.41,144.41,144.41,144.41,167.35,144.41,147.75,159.36,167.19
Busia,101.65,101.65,101.65,111.55,117.05,126.05,126.05,126.05,146.05,145.05,144.05,144.05,144.05,144.05,169.64,144.05,147.44,159.01,166.81
Chuka,101.65,101.65,101.65,111.55,117.05,126.05,126.05,126.05,146.05,145.05,144.05,144.05,144.05,144.05,167.7,144.05,148.29,159.01,166.81
Nyeri,102.21,102.21,102.21,112.11,117.61,126.61,126.61,126.61,146.61,145.61,144.61,144.61,144.61,144.61,169.99,144.61,146.62,159.57,167.41
Kapenguria ,102.36,102.36,102.36,112.26,117.76,126.76,126.76,126.76,146.76,145.76,144.76,144.76,144.76,144.76,167.55,144.76,146.67,159.72,167.57
Habaswein,102.76,102.76,102.77,112.67,118.17,127.17,127.17,127.17,147.17,146.17,145.17,145.17,145.17,145.17,168.1,145.17,147.06,160.13,168.01
Moi's Bridge,104.18,104.18,104.18,114.08,119.58,128.58,128.58,128.58,148.58,147.58,146.58,146.58,146.58,146.58,169.52,146.58,147.87,161.54,169.52
Liboi,104.59,104.59,104.6,114.5,120,129,129,129,149,148,147,147,147,147,169.93,147,147.57,161.96,169.97
Malindi,104.88,104.88,104.88,114.78,120.28,129.28,129.28,129.28,149.28,148.28,147.28,147.28,147.28,147.28,170.22,147.28,151.49,162.24,170.28
Nyamira,103.54,103.54,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,146.67,161.71,169.75
Archers Post,103.54,103.54,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,147.51,161.71,169.75
Nyahururu,103.78,103.78,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,146.67,161.71,169.75
Burnt Forest,103.95,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,146.67,161.71,169.75
O'lessos,103.82,103.95,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,156.65,161.71,169.75
Kitale,104.06,103.82,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,147.04,161.71,169.75
Songor,104.27,104.06,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,147.57,161.71,169.75
Kitui,104.64,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,150.11,161.71,169.75
Endebes,104.57,104.64,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,146.67,161.71,169.75
Kaptarakwa,104.92,104.57,103.54,113.44,118.94,127.94,127.94,127.94,147.94,146.94,145.94,145.94,145.94,145.94,169.43,145.94,145.76,161.48,169.48
Etago,104.91,104.92,103.54,113.44,118.94,127.94,127.94,127.94,147.94,146.94,145.94,145.94,145.94,145.94,169.43,145.94,152.8,161.48,169.48
Nkubu,105.07,104.91,103.78,113.68,119.18,128.18,128.18,128.18,148.18,147.18,146.18,146.18,146.18,146.18,169.67,146.18,146.67,161.71,169.73
Mbale,104.87,105.07,103.96,113.86,119.36,128.36,128.36,128.36,148.36,147.36,146.36,146.36,146.36,146.36,170.97,146.36,147.28,161.89,169.93
Sambalat,105.17,104.87,103.83,113.73,119.23,128.23,128.23,128.23,148.23,147.23,146.23,146.23,146.23,146.23,169.84,146.23,148.89,161.76,169.79
Nairobi,105.06,105.17,104.06,113.96,119.46,128.46,128.46,128.46,148.46,147.46,146.46,146.46,146.46,146.46,169.95,146.46,146.67,162,170.03
Keroka,105.45,105.06,104.28,114.18,119.68,128.68,128.68,128.68,148.68,147.68,146.68,146.68,146.68,146.68,170.53,146.68,146.67,162.22,170.28
Kapedo,105.46,105.45,104.64,114.54,120.04,129.04,129.04,129.04,149.04,148.04,147.04,147.04,147.04,147.04,170.46,147.04,147.51,162.58,170.66
Turbo,106.43,105.46,104.57,114.47,119.97,128.97,128.97,128.97,148.97,147.97,146.97,146.97,146.97,146.97,170.76,146.97,148.07,162.5,170.58
Olenguruone,105.97,106.43,104.93,114.83,120.33,129.33,129.33,129.33,149.33,148.33,147.33,147.33,147.33,147.33,169.71,147.33,147.06,162.86,170.97
Kakamega,106.63,105.97,104.91,114.81,120.31,129.31,129.31,129.31,149.31,148.31,147.31,147.31,147.31,147.31,170.17,147.31,146.73,162.85,170.95
Tot,106.49,106.63,105.08,114.98,120.48,129.48,129.48,129.48,149.48,148.48,147.48,147.48,147.48,147.48,170.81,146.67,148.74,163.02,171.13
Tenges,107.08,106.49,104.88,114.78,120.28,129.28,129.28,129.28,149.28,148.28,147.28,147.28,147.28,147.28,170.8,147.48,146.36,162.81,170.91
Lokitaung,107.71,107.08,105.17,115.07,120.57,129.57,129.57,129.57,149.57,148.57,147.57,147.57,147.57,147.57,170.95,146.67,152.44,163.11,171.23
Barwessa,111.39,107.71,105.07,114.97,120.47,129.47,129.47,129.47,149.47,148.47,147.47,147.47,147.47,147.47,171.34,147.28,146.67,163,171.12
Kaiboi,110.47,111.39,105.46,115.36,120.86,129.86,129.86,129.86,149.86,148.86,147.86,147.86,147.86,147.86,171.36,146.67,151.61,163.39,171.54
Londiani,112.97,110.47,105.47,115.37,120.87,129.87,129.87,129.87,149.87,148.87,147.87,147.87,147.87,147.87,169.64,147.57,146.67,163.4,171.55
Kwale,112.03,112.97,106.44,116.34,121.84,130.84,130.84,130.84,150.84,149.84,148.84,148.84,148.84,148.84,171.06,146.67,149.49,164.38,172.6
Sagana,110.4,112.03,105.98,115.88,121.38,130.38,130.38,130.38,150.38,149.38,148.38,148.38,148.38,148.38,172.33,147.47,146.67,163.91,172.1
Sotik,109.09,110.4,106.64,116.54,122.04,131.04,131.04,131.04,151.04,150.04,149.04,149.04,149.04,149.04,172.52,146.67,147.08,164.57,172.8
Lodosoit,112.64,109.09,106.49,116.39,121.89,130.89,130.89,130.89,150.89,149.89,148.89,148.89,148.89,148.89,172.38,147.86,146.68,164.43,172.64
Kobujoi,114.25,112.64,107.09,116.99,122.49,131.49,131.49,131.49,151.49,150.49,149.49,149.49,149.49,149.49,172.97,146.67,147.18,165.02,173.29
Kapsowar,112.8,114.25,107.71,117.61,123.11,132.11,132.11,132.11,152.11,151.11,150.11,150.11,150.11,150.11,173.6,147.87,146.97,165.64,173.95
Thika,110.54,112.8,111.39,121.29,126.79,135.79,135.79,135.79,155.79,154.79,153.79,153.79,153.79,153.79,177.28,146.67,146.67,169.33,177.91
Naiberi,116.58,110.54,110.47,120.37,125.87,134.87,134.87,134.87,154.87,153.87,152.87,152.87,152.87,152.87,176.36,148.84,154.73,168.41,176.92
Bungoma,103.39,116.58,112.97,122.87,128.37,137.37,137.37,137.37,157.37,156.37,155.37,155.37,155.37,155.37,178.86,146.67,147.28,170.91,179.6
Iten,103.36,103.39,112.03,121.93,127.43,136.43,136.43,136.43,156.43,155.43,154.43,154.43,154.43,154.43,177.92,148.38,144.41,169.96,178.59
Magenche,103.33,103.36,110.4,120.3,125.8,134.8,134.8,134.8,154.8,153.8,152.8,152.8,152.8,152.8,176.29,146.67,147.21,168.34,176.84
Migori,103.43,103.33,109.09,118.99,124.49,133.49,133.49,133.49,153.49,152.49,151.49,151.49,151.49,151.49,174.98,149.04,146.99,167.03,175.44
Kilifi,104.13,103.43,112.64,122.54,128.04,137.04,137.04,137.04,157.04,156.04,155.04,155.04,155.04,155.04,178.53,146.67,146.67,170.59,179.26
Eldoret,103.65,104.13,114.25,124.15,129.65,138.65,138.65,138.65,158.65,157.65,156.65,156.65,156.65,156.65,180.14,148.89,148.66,172.18,180.98
Muhoroni,103.64,103.65,112.81,122.71,128.21,137.21,137.21,137.21,157.21,156.21,155.21,155.21,155.21,155.21,178.7,146.67,147.03,170.74,179.43
Kainuk,106.63,103.64,110.54,120.44,125.94,134.94,134.94,134.94,154.94,153.94,152.94,152.94,152.94,152.94,182.47,149.49,147.47,168.48,176.99
Lomut,107.72,106.63,116.58,126.48,131.98,140.98,140.98,140.98,160.98,159.98,158.98,158.98,158.98,158.98,176.43,146.67,148.68,174.52,183.49
Sigor,103.71,107.72,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,150.11,147.14,161.71,169.75
Mbita,104.11,103.71,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,146.67,161.71,169.75
Kalokol,104.61,104.11,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,153.79,144.05,161.71,169.75
Kapsabet,105.69,104.61,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,147.78,161.71,169.75
Eldama Ravine,104.27,105.69,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,152.87,146.67,161.71,169.75
Nakuru,104.27,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,147,161.71,169.75
Machakos,104.27,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,155.37,146.67,161.71,169.75
Kapcherop,104.27,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,152.87,161.71,169.75
Kilgoris,104.27,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,154.43,144.05,161.71,169.75
Timboroa,104.28,104.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,150.13,161.71,169.75
Moyale,104.7,104.28,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,152.8,146.67,161.71,169.75
Tindiret,104.63,104.7,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,149.97,161.71,169.75
Naivasha,105.27,104.63,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,151.49,149.85,161.71,169.75
Mombasa,105.04,105.27,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,153.63,161.71,169.75
Embu,104.28,105.04,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,155.04,151.53,161.71,169.75
Nandi Hills,104.26,104.28,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,154.49,161.71,169.75
Nakalale,104.22,104.26,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,156.65,150.22,161.71,169.75
Cheptulu,104.31,104.22,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,146.67,149.49,161.71,169.75
Wajir,104.78,104.31,104.27,114.17,119.67,128.67,128.67,128.67,148.67,147.67,146.67,146.67,146.67,146.67,169.64,155.21,146.05,161.71,169.75
